Test Case ID,Module,Feature,Test Case Title,Priority,Test Type,Platform,Preconditions,Test Steps,Expected Result,Sync Status,Actual Result,Pass/Fail,Notes
TC-013,Navigation,Top Bar,Quiz button opens quiz selection,Medium,Functional,Both,User on Bible reader,1. Tap Quiz button.,Quiz selection screen opens.,Aligned,,,
TC-014,Navigation,Top Bar,More menu opens settings/actions,Medium,Functional,iPhone,User on Bible reader (iPhone),1. Tap More menu.,Action sheet with available options appears.,Aligned,,,
TC-015,Navigation,Top Bar,More menu opens on iPad,Medium,Functional,iPad,User on Bible reader (iPad),1. Tap More menu.,Alert-style menu appears without layout crash.,Aligned,,,
TC-016,Reader,Verse Display,Tap verse opens verse action sheet,High,Functional,Both,User on Bible reader with verses visible,1. Tap any verse.,VersesMenu bottom sheet opens showing all action buttons.,Aligned,,,
TC-017,Reader,Verse Display,Get Explanation button visible at top of verse menu,High,UI,Both,User opens verse action sheet,1. Tap a verse. 2. Inspect top of sheet.,Full-width Get Explanation button visible at top; not clipped; bottom row (Bookmark through Explain ad) fully visible.,Aligned,,,Sheet height 428pt phone / 448pt iPad
TC-018,Reader,Verse Display,Mark as Read works without crash,High,Regression,Both,User on Bible reader,1. Tap Mark as Read in reader footer.,Action completes; no cell dequeue crash; QuizAlertVC may appear once when chapter marked read.,Aligned,,,
TC-019,Reader,Verse Display,Continue Reading navigates to last-read verse,High,Functional,Both,User has prior reading position saved,1. Go to Home. 2. Tap Continue Reading.,Reader opens and scrolls to last-read verse with brief highlight.,Aligned,,,
TC-020,Reader,Verse Display,Night mode toggles reader appearance,Medium,Functional,Both,User on Bible reader,1. Toggle night mode from top bar.,Reader background/text colors switch per night mode theme.,Aligned,,,
TC-021,Verse Menu,Bookmark,Bookmark verse saves successfully,High,Functional,Both,Verse not bookmarked,1. Open verse menu. 2. Tap Bookmark.,Toast confirms save; icon changes to filled; entry appears in My Library BookMark tab.,Aligned,,,
TC-022,Verse Menu,Bookmark,Remove bookmark from verse menu,High,Functional,Both,Verse already bookmarked,1. Open verse menu. 2. Tap Bookmark again.,Toast Bookmark Removed; icon reverts; entry removed from My Library.,Aligned,,,
TC-023,Verse Menu,Notes,Save new note on verse,High,Functional,Both,Verse has no note,1. Open verse menu. 2. Tap Notes. 3. Enter text. 4. Save.,Note saved toast; Notes icon filled; entry in My Library Notes.,Aligned,,,
TC-024,Verse Menu,Notes,Empty note blocked from saving,Medium,Negative,Both,Notes overlay open,1. Open Notes. 2. Leave empty or placeholder. 3. Tap Save.,Toast Enter notes to save; note not saved.,Aligned,,,
TC-025,Verse Menu,Notes,Delete existing note,High,Functional,Both,Verse has saved note,1. Open Notes. 2. Tap Delete.,Note deleted; icon reverts; removed from My Library.,Aligned,,,
TC-026,Verse Menu,Underline,Underline verse toggles on,High,Functional,Both,Verse not underlined,1. Open verse menu. 2. Tap Underline.,Toast Verse Underlined; underline visible in reader; My Library Underline tab lists item.,Aligned,,,
TC-027,Verse Menu,Underline,Remove underline toggles off,High,Functional,Both,Verse underlined,1. Open verse menu. 2. Tap Underline again.,Toast Underline Removed; underline removed in reader.,Aligned,,,
TC-028,Verse Menu,Highlight,Apply highlight color to verse,High,Functional,Both,Verse not highlighted,1. Open verse menu. 2. Tap a highlight color.,Toast Highlight Saved; verse shows highlight; My Library Highlights lists item.,Aligned,,,
TC-029,Verse Menu,Highlight,Re-tap same color removes highlight,High,Functional,Both,Verse highlighted with color,1. Open verse menu. 2. Tap same highlight color again.,Toast Highlight Removed; highlight cleared.,Aligned,,,
TC-030,Verse Menu,Copy,Copy verse to clipboard,High,Functional,Both,Verse menu open,1. Tap Copy.,Toast Copied Successfully; clipboard contains verse text reference and app link.,Aligned,,,
TC-031,Verse Menu,Share,Share verse opens share flow,High,Functional,Both,Verse menu open,1. Tap Share.,SharedViewController or system share sheet opens with verse content.,Aligned,,,
TC-032,Verse Menu,Reset,Reset clears all verse annotations,High,Functional,Both,Verse has bookmark/note/highlight/underline,1. Open verse menu. 2. Tap Reset.,Toast Verse Reset Successfully; all annotation icons revert to default; Core Data cleared for verse.,Aligned,,,
TC-033,Verse Menu,Create Image,Create image opens wallpaper flow,Medium,Functional,Both,Verse menu open,1. Tap Create image / Image.,WallpaperView opens for selected verse.,Aligned,,,
TC-034,Verse Menu,Explain (ad),Explain ad opens BibleHi promotion,High,Functional,Both,iOS 15+ device; verse menu open,1. Tap Explain (ad).,Fullscreen BibleHiPromotionView appears; dismiss works.,Aligned,,,Available to all users including subscribers
TC-035,Verse Menu,Explain (ad),Explain ad fallback on iOS below 15,Low,Functional,iPhone,iOS version below 15,1. Tap Explain (ad).,App Store URL for BibleHi opens in browser/App Store.,Aligned,,,
TC-036,Verse Menu,Close,Close verse menu dismisses sheet,Medium,Functional,Both,Verse menu open,1. Tap close or tap outside sheet.,Verse menu dismisses; reader remains on same chapter.,Aligned,,,
TC-037,Get Explanation,Button,Get Explanation opens bottom sheet,High,Functional,Both,Valid Gemini API key in Secrets.swift; online,1. Open verse menu. 2. Tap Get Explanation.,VerseExplanationView bottom sheet opens with loading state.,Aligned,,,
TC-038,Get Explanation,API Success,Gemini returns explanation for verse,High,Integration,Both,Valid API key; device online,1. Tap Get Explanation. 2. Wait for response.,Loading shows then explanation text displays; no crash.,Aligned,,,
TC-039,Get Explanation,Auto Save,Successful explanation auto-saves to Core Data,High,Functional,Both,Explanation fetched successfully,1. Complete Get Explanation flow. 2. Open My Library Explanations tab.,Saved explanation appears with correct reference.,Aligned,,,
TC-040,Get Explanation,Copy,Copy explanation from result sheet,High,Functional,Both,Explanation displayed in sheet,1. Tap Copy in explanation sheet.,Explanation text copied to clipboard; confirmation shown if applicable.,Aligned,,,
TC-041,Get Explanation,Share,Share explanation from result sheet,Medium,Functional,Both,Explanation displayed,1. Tap Share.,Share sheet opens with explanation content.,Aligned,,,
TC-042,Get Explanation,Read,Read navigates to source verse,High,Functional,Both,Explanation displayed,1. Tap Read.,Sheet closes; reader navigates to verse; verse briefly highlighted.,Aligned,,,
TC-043,Get Explanation,Retry,Retry works after API error,High,Negative,Both,Simulate API failure (airplane mode or invalid key then fix),1. Tap Get Explanation when offline. 2. See error. 3. Restore network. 4. Tap Retry.,Error state shown first; Retry fetches explanation successfully.,Aligned,,,
TC-044,Get Explanation,Missing API Key,Missing API key shows error not crash,High,Negative,Both,Secrets.swift empty or placeholder key,1. Tap Get Explanation.,User-friendly error about missing API key; app does not crash.,Aligned,,,
TC-045,Get Explanation,Offline,Offline shows network error,High,Negative,Both,Device in airplane mode,1. Tap Get Explanation.,Network/offline error displayed with Retry option; no crash.,Aligned,,,
TC-046,Get Explanation,Language,Explanation respects language_code setting,Medium,Functional,Both,language_code UserDefaults set to non-English,1. Change language setting if available. 2. Request explanation.,Response returned in configured language (verify manually).,Aligned,,,
TC-047,Get Explanation,Close,Close dismisses explanation sheet,Medium,Functional,Both,Explanation sheet open,1. Tap close/dismiss.,Sheet closes; reader state unchanged.,Aligned,,,
TC-048,My Library,Tabs,All six tabs visible and selectable,High,UI,Both,My Library open,1. Open My Library. 2. Tap each tab: BookMark Highlights Underline Notes Explanations Images.,All six tabs load; correct empty state or data shown per tab.,Aligned,,,UI label is BookMark (not Bookmarks)
TC-049,My Library,Bookmarks,Bookmark list shows saved items,High,Functional,Both,At least one bookmark saved,1. Open BookMark tab.,Bookmarked verses listed newest first with reference.,Aligned,,,
TC-050,My Library,Highlights,Highlights list shows colored verses,High,Functional,Both,At least one highlight saved,1. Open Highlights tab.,Highlighted verses listed with correct references.,Aligned,,,
TC-051,My Library,Notes,Notes list shows saved notes,High,Functional,Both,At least one note saved,1. Open Notes tab.,Notes listed with verse reference and note preview.,Aligned,,,
TC-052,My Library,Explanations,Tap saved explanation reopens sheet,High,Functional,Both,Saved explanation exists,1. Open Explanations tab. 2. Tap a row.,VerseExplanationView opens in saved mode with stored explanation (no new API call).,Aligned,,,
TC-053,My Library,Images,Images tab opens gallery,Medium,Functional,Both,User has saved verse images,1. Open Images tab.,ImageGalleryViewController shows saved images (Photos permission granted).,Aligned,,,
TC-054,My Library,Images,Images tab handles denied Photos permission,Medium,Negative,Both,Photos permission denied,1. Open Images tab.,Appropriate permission warning shown; no crash.,Aligned,,,
TC-055,My Library,Popup Menu,Read from library navigates to verse,High,Functional,Both,Library item exists,1. Tap item menu (⋯). 2. Tap Read.,Reader opens at correct book/chapter/verse.,Aligned,,,
TC-056,My Library,Popup Menu,Copy from library copies content,High,Functional,Both,Library item exists,1. Open popup menu. 2. Tap Copy.,Content copied; toast confirmation shown.,Aligned,,,
TC-057,My Library,Popup Menu,Share from library opens share sheet,Medium,Functional,Both,Library item exists,1. Open popup menu. 2. Tap Share.,Share flow opens with correct content.,Aligned,,,
TC-058,My Library,Popup Menu,Delete removes library item,High,Functional,Both,Library item exists,1. Open popup menu. 2. Tap Delete.,Item removed from list; toast confirms deletion.,Aligned,,,
TC-059,My Library,Swipe,Swipe between library tabs,Low,Functional,Both,My Library open,1. Swipe left/right on list area.,Tabs cycle through all six sections without crash.,Aligned,,,
TC-060,Search,Basic Search,Search with 3+ characters returns results,High,Functional,Both,Search screen open,1. Enter 3+ character query. 2. Tap Search.,Results list shown with count toast; or No results found if none.,Aligned,,,
TC-061,Search,Filters,Testament and book filters narrow results,Medium,Functional,Both,Search screen open,1. Set OT/NT filter. 2. Select book. 3. Search.,Results respect selected filters.,Aligned,,,
TC-062,Search,Navigation,Read from search result navigates to verse,High,Functional,Both,Search results displayed,1. Open result menu. 2. Tap Read.,Reader navigates to selected verse.,Aligned,,,
TC-063,Search,Empty,Short query under 3 chars handled,Low,Negative,Both,Search screen open,1. Enter 1-2 characters. 2. Search.,No crash; search only runs when count >= 3 per SearchViewController.,Aligned,,,
TC-064,Home,Daily Verse,Home shows daily verse preview,Medium,Functional,Both,Home tab open,1. Open Home tab.,Daily verse content visible with appropriate background.,Aligned,,,
TC-065,Home,Check Now,Check Now opens daily verse list,Medium,Functional,Both,Home tab open,1. Tap Check Now.,DailyVereseViewController opens with verse history.,Aligned,,,
TC-066,Home,Share App,Share App grants wallet reward once per day,Low,Functional,Both,Internet available; reward not claimed today,1. Tap Share App. 2. Complete share.,Wallet coins increase by 20 once per day.,Aligned,,,
TC-067,Home,Share App,Share App offline shows error,Low,Negative,Both,No internet,1. Tap Share App.,No internet connection toast; no crash.,Aligned,,,
TC-068,Home,Play Quiz,Play Quiz opens quiz with current context,Medium,Functional,Both,User has reading position,1. Tap Play Quiz on Home.,Quiz selection opens with book/chapter pre-filled from reading position.,Aligned,,,
TC-069,Settings,Notifications,Toggle notifications on/off,Medium,Functional,Both,Settings open,1. Toggle notification switch on. 2. Toggle off.,Push registration/unregistration occurs; no crash.,Aligned,,,
TC-070,Settings,Font,Font size slider changes reader text,Medium,Functional,Both,Settings open,1. Open Font & size. 2. Adjust slider. 3. Return to reader.,Verse font size updates per slider value (15-45 range).,Aligned,,,
TC-071,Settings,Theme,Theme color change applies app-wide,Medium,Functional,Both,Settings open,1. Select different theme color. 2. Open verse menu and Home.,AppThemeColor applied to buttons labels and themed UI elements.,Aligned,,,
TC-072,Settings,Feedback,Feedback requires internet,Low,Negative,Both,Airplane mode on,1. Tap Feedback in Settings.,No internet connection message; no crash.,Aligned,,,
TC-073,Settings,Rate Us,Rate Us requires internet,Low,Negative,Both,Airplane mode on,1. Tap Rate Us.,No internet connection message or graceful handling.,Aligned,,,
TC-074,Audio,Player,Audio player plays chapter MP3,Medium,Functional,Both,AUDIO_ENABLE enabled; audio files present,1. Tap Audio control. 2. Play current chapter.,Audio plays; play/pause and slider work.,Aligned,,,
TC-075,Audio,TTS,Text-to-speech reads chapter,Medium,Functional,Both,SPEECH_ENABLE enabled,1. Tap Speech/TTS. 2. Start playback.,TTS reads chapter text in configured voice/language.,Aligned,,,
TC-076,Audio,Hidden,Audio UI hidden when both flags disabled,Low,Functional,Both,AUDIO_ENABLE and SPEECH_ENABLE are 0,1. Open Bible reader.,Audio and Speech buttons not visible.,Aligned,,,
TC-077,Quiz,Selection,Quiz requires book chapter and difficulty,High,Functional,Both,Quiz selection open,1. Tap Start without selections.,Validation toast (e.g. Please select Book first); quiz does not start.,Aligned,,,
TC-078,Quiz,Gameplay,Complete quiz round without crash,High,Functional,Both,Book chapter difficulty selected,1. Start quiz. 2. Answer questions. 3. Finish round.,Quiz progresses and completes without crash; wallet updates if applicable.,Aligned,,,
TC-079,Quiz,Wallet,First-time quiz selection grants welcome coins,Low,Functional,Both,NotFirstTime UserDefaults is false (never opened quiz selection),1. Open Quiz selection (SelectionViewController) for the first time.,+500 coins added once; NotFirstTime set true; not re-granted on later opens.,Aligned,,,Triggered in SelectionViewController viewDidLoad
TC-080,IAP,Subscription,Subscription screen displays plans,High,Functional,Both,Navigate to BibleSubscriptionView,1. Open subscription screen.,Lifetime and yearly plans visible with prices when StoreKit available.,Aligned,,,
TC-081,IAP,Subscription,Restore purchases works,High,Functional,Both,Prior purchase on same Apple ID,1. Tap Restore Purchases.,Subscription restored; ad-free state applied if valid.,Aligned,,,
TC-082,IAP,Subscription,Continue with Free Version dismisses IAP,Medium,Functional,Both,On subscription screen,1. Tap Continue with Free Version.,IAP dismisses; user reaches reader with free experience.,Aligned,,,
TC-083,IAP,Subscription,Offline purchase blocked,High,Negative,Both,Airplane mode on subscription screen,1. Attempt purchase.,Offline toast/error; no crash.,Aligned,,,
TC-084,IAP,Exit Offer,Exit offer timer and discount flow,Medium,Functional,Both,Trigger exit offer on IAP screen,1. Attempt to close IAP. 2. Observe exit offer.,Exit offer appears with timer; expired offer closes cleanly.,Aligned,,,
TC-085,Ads,Interstitial,Verse tap ad counter increments for free users,Low,Functional,Both,Free user (paymentInfo true); IS_SUBSCRIPTION_ENABLE=1,1. Tap multiple verses.,CallAds increments LastClickCount; IndestrialAd invoked at count 5; no crash.,Stubbed,,,IndestrialAd() body is empty in ReaderViewController — verify on device with live ad SDK
TC-086,Wallpaper,Save Image,Save verse image to Photos,Medium,Functional,Both,Wallpaper flow open; Photos permission granted,1. Create verse image. 2. Save to Photos.,Image saved; confirmation shown.,Aligned,,,
TC-087,Wallpaper,Permission,Save image denied Photos permission,Medium,Negative,Both,Photos permission denied,1. Attempt save to Photos.,Permission warning shown; no crash.,Aligned,,,
TC-088,Share,iPad Popover,Share sheet uses popover on iPad,High,Regression,iPad,iPad device,1. Share from verse menu or library.,Share presents as popover anchored correctly; no crash.,Aligned,,,
TC-089,Reader,Summary,Summary footer opens BibleHi promo,Medium,Functional,iOS 15+,Reader footer visible on iOS 15+,1. Tap Summary in reader footer.,BibleHiPromotionView opens fullscreen.,Aligned,,,No App Store fallback on iOS 14 (unlike Explain ad in VersesMenu)
TC-090,Slide Card,Annotations,Slide card bookmark and highlight work,Medium,Functional,Both,Slide Card reading mode open,1. Open Slide Card. 2. Bookmark/highlight a verse.,Annotations persist same as main reader model.,Aligned,,,
TC-091,Notifications,Schedule,Enable notification shifts in settings,Medium,Functional,Both,Notification permission granted,1. Enable notifications. 2. Configure shifts in NotificationListVC.,Up to 4 daily shifts scheduled without crash.,Aligned,,,
TC-092,Notifications,Tap,Tap notification navigates appropriately,Medium,Functional,Both,Scheduled notification delivered,1. Tap notification.,Verse saved to widget; non-daily title may route to Quiz after delay.,Aligned,,,
TC-093,Widget,Verse Widget,Verse widget displays shared verse text,Low,Functional,Both,Widget added; app received notification,1. Add verse widget. 2. Trigger verse update from app.,Widget shows VerseString from App Group or hardcoded fallback.,Aligned,,,
TC-094,Widget,Quiz Widget,Quiz widget displays quiz content,Low,Functional,Both,Quote widget added,1. Add quiz/quote widget.,Widget shows VerseQuiz from App Group or hardcoded fallback; no crash.,Verify,,,App may not write VerseQuiz key — fallback likely
TC-095,iPad,Layout,Verse menu layout on iPad not clipped,High,UI,iPad,iPad simulator or device,1. Open verse menu on iPad.,Get Explanation button and all rows visible; sheet height ~448pt.,Aligned,,,
TC-096,iPad,Layout,My Library and Search layouts on iPad,Medium,UI,iPad,iPad device,1. Open My Library and Search.,Wider layouts render correctly; no truncated controls.,Aligned,,,
TC-097,iPad,Storyboard,iPad uses MainIpad storyboard,High,Functional,iPad,iPad device,1. Launch and navigate main flows.,MainIpad storyboard used via AppConstrains; no missing outlets or blank screens.,Aligned,,,kStoryboardMainIphone points to MainIpad on iPad
TC-098,Regression,QuizAlertVC,Mark as Read quiz alert does not crash,High,Regression,Both,Reader with Mark as Read available,1. Tap Mark as Read when chapter becomes marked.,QuizAlertVC appears once; no double popup; no layout crash.,Aligned,,,
TC-099,Regression,Secrets,Build succeeds with Secrets.swift gitignored,High,Build,Both,Secrets.swift present locally; not in compile duplicate,1. Clean build in Xcode.,BUILD SUCCEEDED; no duplicate Secrets symbol errors.,Aligned,,,
TC-100,Regression,Core Data,App launches after Core Data model update,High,Regression,Both,App updated with VerseExplanation entity,1. Upgrade from prior build or fresh install. 2. Launch app.,App launches; Core Data migrates without crash; explanations save/load.,Aligned,,,
TC-101,Data Persistence,Annotations,Annotations persist after force quit and relaunch,High,Functional,Both,"Bookmark, highlight, underline and note saved on verses",1. Save each annotation type. 2. Force quit app. 3. Relaunch. 4. Revisit verses and My Library.,All annotations still visible in reader and My Library after relaunch.,Aligned,,,
TC-102,Data Persistence,App Update,Update over existing install preserves user data,High,Regression,Both,"Live build installed with annotations, wallet, reading position","1. Install current build. 2. Create test data. 3. Install new build over it. 4. Launch and verify.","App launches without crash; Core Data annotations, wallet, reading position intact; Bible content loads.",Aligned,,,iOS Core Data app — verify upgrade path manually
TC-103,Data Persistence,First Launch,Unzip interrupted by app kill recovers on relaunch,High,Negative,Both,Fresh install,1. Launch first time. 2. Kill app during 101.zip unzip. 3. Relaunch.,Document actual behavior: may retry unzip or stall; no explicit recovery UI in SplashVc.,Gap,,,SplashVc catch block is empty — recovery not implemented
TC-104,Data Persistence,First Launch,Low storage during first-launch unzip shows graceful error,Medium,Negative,Both,Device with nearly full storage,1. Fill device storage. 2. Fresh install and launch.,Document actual behavior: unzip errors caught silently; no user-facing error today.,Gap,,,No friendly low-storage message in SplashVc
TC-105,Get Explanation,Rate Limit,Gemini quota/rate-limit (429) shows error with Retry,High,Negative,Both,API key at quota or simulate 429,1. Tap Get Explanation until rate limited.,Error message shown (API message or Request failed); Retry available; no crash.,Aligned,,,Not a custom 429 string — uses GeminiExplanationService apiError
TC-106,Get Explanation,Safety Block,Safety-blocked Gemini response handled without crash,High,Negative,Both,Verse likely to trigger safety filter,1. Request explanation for such a verse.,Empty/blocked response shows No explanation was returned; no crash.,Aligned,,,
TC-107,Get Explanation,Dismiss Mid-Fetch,Dismiss sheet during loading does not crash on late response,High,Negative,Both,Slow network,1. Tap Get Explanation. 2. Dismiss while loading. 3. Wait for response.,No crash; ideally no ghost UI (weak self used — verify manually).,Verify,,,Completion may still run after dismiss — regression risk
TC-108,Get Explanation,Re-fetch,Re-tap Get Explanation on same verse calls API again,Medium,Functional,Both,Verse already has saved explanation,1. Tap Get Explanation on same verse from verse menu again.,New Gemini request fires (fetchNew mode); Core Data updates same record (no duplicate rows); saved copy opens from My Library only.,Aligned,,,Fixed from v2 — verse menu does not load cache
TC-109,Get Explanation,Double Tap,Rapid double-tap Get Explanation behavior,Medium,Negative,Both,Verse menu open,1. Tap Get Explanation twice rapidly.,Single API request per sheet (isLoading guard); multiple overlays possible if menu tapped twice — verify no crash.,Verify,,,No guard in ExplanationNib against stacked sheets
TC-110,Get Explanation,Formatting,Gemini response displayed as plain text,Medium,UI,Both,Explanation may contain markdown,1. Fetch explanations for several verses. 2. Inspect text.,Text shown in UILabel as plain string; markdown symbols may appear verbatim; long text scrolls.,Aligned,,,Fixed from v2 — no markdown rendering
TC-111,IAP,Interrupted Purchase,Purchase interrupted mid-transaction completes on next launch,High,Negative,Both,Sandbox account,1. Start purchase. 2. Kill app before completion. 3. Relaunch.,StoreKit delivers pending transaction; ad-free state applied; no double charge.,Aligned,,,
TC-112,IAP,Expiry,Expired yearly subscription restores ads and paywall,High,Functional,Both,Sandbox subscription expired,1. Let sandbox subscription expire. 2. Launch and use app.,paymentInfo() returns true; ads/paywall return; no crash.,Aligned,,,
TC-113,IAP,Ad-Free Verification,Subscriber ad behavior matches code,High,Functional,Both,Active subscription or lifetime purchase,"1. Purchase. 2. Tap verses, Mark as Read, wallpaper, Explain (ad).","CallAds/CallInterstitialAd skipped or stubbed for subscribers; Explain (ad) BibleHi promo still available to all users; exit offer hidden per IAP rules.",Aligned,,,Fixed from v2 — Explain ad intentionally not removed
TC-114,IAP,Receipt,Receipt verification failure handled gracefully,Medium,Negative,Both,Simulate invalid receipt validation,1. Trigger receipt verification with invalid receipt.,Graceful fallback; user not incorrectly granted or stripped of ad-free; no crash.,Aligned,,,
TC-115,IAP,Ad Info Button,Ad Info button visibility and icon per user type,Low,Functional,Both,IS_SUBSCRIPTION_ENABLE=1,1. Open reader as free user. 2. Open as subscriber.,AdInfo visible for both when subscriptions enabled; free users see ad-free upsell icon; subscribers see AdInfo or ad-free per paymentStatus().,Aligned,,,Fixed from v2 — not subscriber-only
TC-116,Settings,Recent Arrivals,Recent Arrivals visible for free users with book ads,Medium,Functional,Both,Free user with book_ads_status>0 and book ad data,1. Open Settings/More as free user. 2. Open as subscriber.,Recent Arrivals row shown for free (paymentInfo true) when book ads enabled; hidden for subscribers.,Aligned,,,Fixed from v2 — inverted in v2
TC-117,Quiz,Gift Cards,Gift card claim flow completes,High,Functional,Both,Wallet balance meets gift card threshold,1. Open wallet/gift cards. 2. Claim a gift card. 3. Submit required details.,Claim submitted; coins deducted correctly; confirmation shown.,Aligned,,,GiftCardVC / GiftCardClaimVC exist
TC-118,Quiz,Gift Cards,Insufficient coins blocks gift card claim,Medium,Negative,Both,Wallet below threshold,1. Attempt to claim gift card.,Claim blocked with clear message; no coin deduction.,Aligned,,,
TC-119,Quiz,Coin Farming,Replaying same quiz coin rules,Medium,Negative,Both,Completed quiz for a chapter,1. Replay same book/chapter/difficulty repeatedly.,Coins awarded per QuizMainPageVC rules only; verify manually for exploits.,Verify,,,Confirm product rules during QA
TC-120,Quiz,Wallet Persistence,Wallet balance persists across relaunch and update,Medium,Functional,Both,Wallet has coins,1. Note balance. 2. Force quit and relaunch. 3. Verify after app update.,Balance unchanged; +500 welcome bonus not re-granted (NotFirstTime stays true).,Aligned,,,
TC-121,Home,Inline Quiz,Home fill-in-the-blank inline quiz works,Medium,Functional,Both,Home tab open,1. Answer inline fill-in-the-blank quiz on Home. 2. Submit correct and wrong answers.,Feedback shown; no crash; reward per HomeController logic.,Aligned,,,
TC-122,Home,Verse Image,Create/edit/share verse image from Home card,Medium,Functional,Both,Home tab open,"1. Use Home card image actions: create, edit, share.",Wallpaper/editor flow opens from Home; share works.,Aligned,,,
TC-123,Reader,Chapter Swipe,Swipe left/right changes chapter (PageSwipeVc),High,Functional,Both,User on Bible reader,1. Swipe for next chapter. 2. Swipe for previous.,Chapters change; header updates; annotations render for new chapter.,Aligned,,,
TC-124,Reader,Boundaries,First/last chapter swipe stops at boundary,Medium,Negative,Both,Reader at Bible boundaries,1. At chapter 1 swipe previous. 2. At last chapter swipe next.,PageSwipeVc returns nil; no crash or blank page.,Aligned,,,
TC-125,Reader,Performance,"Psalm 119 loads, scrolls and Marks as Read smoothly",Medium,Performance,Both,Reader open,1. Navigate to Psalm 119. 2. Scroll full chapter. 3. Mark as Read. 4. Tap verses.,"No lag spikes, cell reuse glitches, or crash on long chapter.",Aligned,,,
TC-126,Reader,Verse Picker,Verse picker jumps to specific verse,Medium,Functional,Both,Chapter picker then verse list open,1. Open chapter picker. 2. Select chapter. 3. Pick specific verse.,Reader scrolls to exact verse with highlight via VerseSelectionAction.,Aligned,,,
TC-127,Reader,Dark Mode,System dark mode vs in-app night mode,Medium,UI,Both,iOS system dark mode and app night mode combinations,1. Toggle four combinations. 2. Check reader and menus.,Readable text in all combinations; note app uses custom night mode not system-only.,Aligned,,,
TC-128,Slide Card,Actions,"Slide Card notes, copy, share and refresh work",Medium,Functional,Both,Slide Card mode open,1. Add note. 2. Copy verse. 3. Share. 4. Tap refresh.,All actions work; note appears in My Library; no crash.,Aligned,,,
TC-129,Slide Card,Extras,"Slide Card save image, night mode and subscription entry work",Low,Functional,Both,Slide Card mode open,1. Save verse image. 2. Toggle night mode. 3. Open subscription entry.,Image saves; theme switches; IAP opens and dismisses back to Slide Card.,Aligned,,,
TC-130,Audio,Chapter Nav,Chapter navigation from audio player,Medium,Functional,Both,Audio enabled; playing a chapter,1. Use next/previous chapter controls in player.,Audio advances to correct chapter; reader position syncs per spec.,Aligned,,,
TC-131,Audio,Interruption,Incoming call/Siri interrupts audio/TTS,Medium,Functional,Both,Audio or TTS playing,1. Trigger call or Siri during playback. 2. End interruption.,Playback pauses on interruption; resumes or stays paused; no crash.,Aligned,,,
TC-132,Audio,Route Change,Unplugging headphones pauses audio,Low,Functional,Both,Audio playing via headphones,1. Disconnect headphones/Bluetooth mid-playback.,Audio pauses per iOS AVAudioSession; no crash.,Aligned,,,
TC-133,Audio,Background,Backgrounding during audio/TTS,Medium,Functional,Both,Audio or TTS playing,1. Press home / lock device during playback.,Playback continues or pauses per background audio config; state correct on return.,Aligned,,,
