Test Case ID,Module,Feature,Test Case Title,Priority,Test Type,Platform,Preconditions,Test Steps,Expected Result,Actual Result,Pass/Fail,Notes
TC-034,Verse Menu,Explain (ad),Explain ad opens BibleHi promotion,High,Functional,Both,iOS 15+ device; verse menu open,1. Tap Explain (ad).,Fullscreen BibleHiPromotionView appears; dismiss works.,,,
TC-035,Verse Menu,Explain (ad),Explain ad fallback on iOS below 15,Low,Functional,iPhone,iOS version below 15,1. Tap Explain (ad).,App Store URL for BibleHi opens in browser/App Store.,,,
TC-036,Verse Menu,Close,Close verse menu dismisses sheet,Medium,Functional,Both,Verse menu open,1. Tap close or tap outside sheet.,Verse menu dismisses; reader remains on same chapter.,,,
TC-037,Get Explanation,Button,Get Explanation opens bottom sheet,High,Functional,Both,Valid Gemini API key in Secrets.swift; online,1. Open verse menu. 2. Tap Get Explanation.,VerseExplanationView bottom sheet opens with loading state.,,,
TC-038,Get Explanation,API Success,Gemini returns explanation for verse,High,Integration,Both,Valid API key; device online,1. Tap Get Explanation. 2. Wait for response.,Loading shows then explanation text displays; no crash.,,,
TC-039,Get Explanation,Auto Save,Successful explanation auto-saves to Core Data,High,Functional,Both,Explanation fetched successfully,1. Complete Get Explanation flow. 2. Open My Library Explanations tab.,Saved explanation appears with correct reference.,,,
TC-040,Get Explanation,Copy,Copy explanation from result sheet,High,Functional,Both,Explanation displayed in sheet,1. Tap Copy in explanation sheet.,Explanation text copied to clipboard; confirmation shown if applicable.,,,
TC-041,Get Explanation,Share,Share explanation from result sheet,Medium,Functional,Both,Explanation displayed,1. Tap Share.,Share sheet opens with explanation content.,,,
TC-042,Get Explanation,Read,Read navigates to source verse,High,Functional,Both,Explanation displayed,1. Tap Read.,Sheet closes; reader navigates to verse; verse briefly highlighted.,,,
TC-043,Get Explanation,Retry,Retry works after API error,High,Negative,Both,Simulate API failure (airplane mode or invalid key then fix),1. Tap Get Explanation when offline. 2. See error. 3. Restore network. 4. Tap Retry.,Error state shown first; Retry fetches explanation successfully.,,,
TC-044,Get Explanation,Missing API Key,Missing API key shows error not crash,High,Negative,Both,Secrets.swift empty or placeholder key,1. Tap Get Explanation.,User-friendly error about missing API key; app does not crash.,,,
TC-045,Get Explanation,Offline,Offline shows network error,High,Negative,Both,Device in airplane mode,1. Tap Get Explanation.,Network/offline error displayed with Retry option; no crash.,,,
TC-046,Get Explanation,Language,Explanation respects language_code setting,Medium,Functional,Both,language_code UserDefaults set to non-English,1. Change language setting if available. 2. Request explanation.,Response returned in configured language (verify manually).,,,
TC-047,Get Explanation,Close,Close dismisses explanation sheet,Medium,Functional,Both,Explanation sheet open,1. Tap close/dismiss.,Sheet closes; reader state unchanged.,,,
TC-048,My Library,Tabs,All six tabs visible and selectable,High,UI,Both,My Library open,1. Open My Library. 2. Tap each tab: Bookmark Highlights Underline Notes Explanations Images.,All tabs load; correct empty state or data shown per tab.,,,
TC-049,My Library,Bookmarks,Bookmark list shows saved items,High,Functional,Both,At least one bookmark saved,1. Open Bookmarks tab.,Bookmarked verses listed newest first with reference.,,,
TC-050,My Library,Highlights,Highlights list shows colored verses,High,Functional,Both,At least one highlight saved,1. Open Highlights tab.,Highlighted verses listed with correct references.,,,
TC-051,My Library,Notes,Notes list shows saved notes,High,Functional,Both,At least one note saved,1. Open Notes tab.,Notes listed with verse reference and note preview.,,,
TC-052,My Library,Explanations,Tap saved explanation reopens sheet,High,Functional,Both,Saved explanation exists,1. Open Explanations tab. 2. Tap a row.,VerseExplanationView opens with saved explanation text.,,,
TC-053,My Library,Images,Images tab opens gallery,Medium,Functional,Both,User has saved verse images,1. Open Images tab.,ImageGalleryViewController shows saved images (Photos permission granted).,,,
TC-054,My Library,Images,Images tab handles denied Photos permission,Medium,Negative,Both,Photos permission denied,1. Open Images tab.,Appropriate permission warning shown; no crash.,,,
TC-055,My Library,Popup Menu,Read from library navigates to verse,High,Functional,Both,Library item exists,1. Tap item menu (⋯). 2. Tap Read.,Reader opens at correct book/chapter/verse.,,,
TC-056,My Library,Popup Menu,Copy from library copies content,High,Functional,Both,Library item exists,1. Open popup menu. 2. Tap Copy.,Content copied; toast confirmation shown.,,,
TC-057,My Library,Popup Menu,Share from library opens share sheet,Medium,Functional,Both,Library item exists,1. Open popup menu. 2. Tap Share.,Share flow opens with correct content.,,,
TC-058,My Library,Popup Menu,Delete removes library item,High,Functional,Both,Library item exists,1. Open popup menu. 2. Tap Delete.,Item removed from list; toast confirms deletion.,,,
TC-059,My Library,Swipe,Swipe between library tabs,Low,Functional,Both,My Library open,1. Swipe left/right on list area.,Tabs cycle through all six sections without crash.,,,
TC-060,Search,Basic Search,Search with 3+ characters returns results,High,Functional,Both,Search screen open,1. Enter 3+ character query. 2. Tap Search.,Results list shown with count toast; or No results found if none.,,,
TC-061,Search,Filters,Testament and book filters narrow results,Medium,Functional,Both,Search screen open,1. Set OT/NT filter. 2. Select book. 3. Search.,Results respect selected filters.,,,
TC-062,Search,Navigation,Read from search result navigates to verse,High,Functional,Both,Search results displayed,1. Open result menu. 2. Tap Read.,Reader navigates to selected verse.,,,
TC-063,Search,Empty,Short query under 3 chars handled,Low,Negative,Both,Search screen open,1. Enter 1-2 characters. 2. Search.,No inappropriate crash; results cleared or validation applied.,,,
TC-064,Home,Daily Verse,Home shows daily verse preview,Medium,Functional,Both,Home tab open,1. Open Home tab.,Daily verse content visible with appropriate background.,,,
TC-065,Home,Check Now,Check Now opens daily verse list,Medium,Functional,Both,Home tab open,1. Tap Check Now.,DailyVereseViewController opens with verse history.,,,
TC-066,Home,Share App,Share App grants wallet reward once per day,Low,Functional,Both,Internet available; reward not claimed today,1. Tap Share App. 2. Complete share.,Wallet coins increase by 20 once per day.,,,
TC-067,Home,Share App,Share App offline shows error,Low,Negative,Both,No internet,1. Tap Share App.,No internet connection toast; no crash.,,,
TC-068,Home,Play Quiz,Play Quiz opens quiz with current context,Medium,Functional,Both,User has reading position,1. Tap Play Quiz on Home.,Quiz selection opens with book/chapter pre-filled from reading position.,,,
TC-069,Settings,Notifications,Toggle notifications on/off,Medium,Functional,Both,Settings open,1. Toggle notification switch on. 2. Toggle off.,Push registration/unregistration occurs; no crash.,,,
TC-070,Settings,Font,Font size slider changes reader text,Medium,Functional,Both,Settings open,1. Open Font & size. 2. Adjust slider. 3. Return to reader.,Verse font size updates per slider value (15-45 range).,,,
TC-071,Settings,Theme,Theme color change applies app-wide,Medium,Functional,Both,Settings open,1. Select different theme color. 2. Open verse menu and Home.,AppThemeColor applied to buttons labels and themed UI elements.,,,
TC-072,Settings,Feedback,Feedback requires internet,Low,Negative,Both,Airplane mode on,1. Tap Feedback in Settings.,No internet connection message; no crash.,,,
TC-073,Settings,Rate Us,Rate Us requires internet,Low,Negative,Both,Airplane mode on,1. Tap Rate Us.,No internet connection message or graceful handling.,,,
TC-074,Audio,Player,Audio player plays chapter MP3,Medium,Functional,Both,AUDIO_ENABLE enabled; audio files present,1. Tap Audio control. 2. Play current chapter.,Audio plays; play/pause and slider work.,,,
TC-075,Audio,TTS,Text-to-speech reads chapter,Medium,Functional,Both,SPEECH_ENABLE enabled,1. Tap Speech/TTS. 2. Start playback.,TTS reads chapter text in configured voice/language.,,,
TC-076,Audio,Hidden,Audio UI hidden when both flags disabled,Low,Functional,Both,AUDIO_ENABLE and SPEECH_ENABLE are 0,1. Open Bible reader.,Audio and Speech buttons not visible.,,,
TC-077,Quiz,Selection,Quiz requires book chapter and difficulty,High,Functional,Both,Quiz selection open,1. Tap Start without selections.,Validation toast (e.g. Please select Book first); quiz does not start.,,,
TC-078,Quiz,Gameplay,Complete quiz round without crash,High,Functional,Both,Book chapter difficulty selected,1. Start quiz. 2. Answer questions. 3. Finish round.,Quiz progresses and completes without crash; wallet updates if applicable.,,,
TC-079,Quiz,Wallet,First-time quiz user receives welcome coins,Low,Functional,Both,New quiz user (WalletMoney not set),1. Open quiz first time.,+500 welcome coins granted per code logic.,,,
TC-080,IAP,Subscription,Subscription screen displays plans,High,Functional,Both,Navigate to BibleSubscriptionView,1. Open subscription screen.,Lifetime and yearly plans visible with prices when StoreKit available.,,,
TC-081,IAP,Subscription,Restore purchases works,High,Functional,Both,Prior purchase on same Apple ID,1. Tap Restore Purchases.,Subscription restored; ad-free state applied if valid.,,,
TC-082,IAP,Subscription,Continue with Free Version dismisses IAP,Medium,Functional,Both,On subscription screen,1. Tap Continue with Free Version.,IAP dismisses; user reaches reader with free experience.,,,
TC-083,IAP,Subscription,Offline purchase blocked,High,Negative,Both,Airplane mode on subscription screen,1. Attempt purchase.,Offline toast/error; no crash.,,,
TC-084,IAP,Exit Offer,Exit offer timer and discount flow,Medium,Functional,Both,Trigger exit offer on IAP screen,1. Attempt to close IAP. 2. Observe exit offer.,Exit offer appears with timer; expired offer closes cleanly.,,,
TC-085,Ads,Interstitial,Verse tap ad counter increments,Low,Functional,Both,Free/subscribed per ad rules,1. Tap multiple verses.,Ad logic runs per CallAds; no crash (verify on device with live ad config).,,,
TC-086,Wallpaper,Save Image,Save verse image to Photos,Medium,Functional,Both,Wallpaper flow open; Photos permission granted,1. Create verse image. 2. Save to Photos.,Image saved; confirmation shown.,,,
TC-087,Wallpaper,Permission,Save image denied Photos permission,Medium,Negative,Both,Photos permission denied,1. Attempt save to Photos.,Permission warning shown; no crash.,,,
TC-088,Share,iPad Popover,Share sheet uses popover on iPad,High,Regression,iPad,iPad device,1. Share from verse menu or library.,Share presents as popover anchored correctly; no crash.,,,
TC-089,Reader,Summary,Summary footer opens BibleHi promo,Medium,Functional,Both,iOS 15+; reader footer visible,1. Tap Summary in reader footer.,BibleHiPromotionView opens (same promo family as Explain ad).,,,
TC-090,Slide Card,Annotations,Slide card bookmark and highlight work,Medium,Functional,Both,Slide Card reading mode open,1. Open Slide Card. 2. Bookmark/highlight a verse.,Annotations persist same as main reader model.,,,
TC-091,Notifications,Schedule,Enable notification shifts in settings,Medium,Functional,Both,Notification permission granted,1. Enable notifications. 2. Configure shifts in NotificationListVC.,Up to 4 daily shifts scheduled without crash.,,,
TC-092,Notifications,Tap,Tap notification navigates appropriately,Medium,Functional,Both,Scheduled notification delivered,1. Tap notification.,Verse saved to widget; non-daily title may route to Quiz after delay.,,,
TC-093,Widget,Verse Widget,Verse widget displays shared verse text,Low,Functional,Both,Widget added to home screen; app received notification,1. Add verse widget. 2. Trigger verse update from app.,Widget shows verse from App Group or fallback text.,,,
TC-094,Widget,Quiz Widget,Quiz widget displays quiz content,Low,Functional,Both,Quote widget added,1. Add quiz/quote widget.,Widget shows quiz-style content or fallback without crash.,,,
TC-095,iPad,Layout,Verse menu layout on iPad not clipped,High,UI,iPad,iPad simulator or device,1. Open verse menu on iPad.,Get Explanation button and all rows visible; sheet height appropriate (448pt area).,,,
TC-096,iPad,Layout,My Library and Search layouts on iPad,Medium,UI,iPad,iPad device,1. Open My Library and Search.,Wider layouts render correctly; no truncated controls.,,,
TC-097,iPad,Storyboard,iPad uses MainIpad storyboard,High,Functional,iPad,iPad device,1. Launch and navigate main flows.,Correct iPad storyboard used; no missing outlets or blank screens.,,,
TC-098,Regression,QuizAlertVC,Mark as Read quiz alert does not crash,High,Regression,Both,Reader with Mark as Read available,1. Tap Mark as Read.,QuizAlertVC appears as designed; no massive layout crash.,,,
TC-099,Regression,Secrets,Build succeeds with Secrets.swift gitignored,High,Build,Both,Secrets.swift present locally; not in repo,1. Clean build in Xcode.,BUILD SUCCEEDED; no duplicate Secrets symbol errors.,,,
TC-100,Regression,Core Data,App launches after Core Data model update,High,Regression,Both,App updated with VerseExplanation entity,1. Upgrade from prior build or fresh install. 2. Launch app.,App launches; Core Data migrates without crash; explanations save/load.,,,
